zcta5,county14,county,cntyname2,zipname,hus10,afact
ZIP Census Tabulation Area,county14,county,Current County,zipname,"Total HUs, 2010 census",zcta5 to county14 alloc factor
22623,51187, ,Warren VA,"Chester Gap, VA",59,0.218
22624,51069, ,Frederick VA,"Clear Brook, VA",999,1
22625,51069, ,Frederick VA,"Lake Holiday, VA",1534,1
22627,51157, ,Rappahannock VA,"Flint Hill, VA",362,1
22630,51043, ,Clarke VA,"Front Royal, VA",11,0.001
22630,51061, ,Fauquier VA,"Front Royal, VA",6,0
22630,51069, ,Frederick VA,"Front Royal, VA",217,0.017
22630,51187, ,Warren VA,"Front Royal, VA",12622,0.982
22637,51069, ,Frederick VA,"Gore, VA",881,1
22639,51061, ,Fauquier VA,"Hume, VA",267,1
22640,51157, ,Rappahannock VA,"Huntly, VA",284,1
22641,51171, ,Shenandoah VA,"Strasburg, VA",178,1
22642,51061, ,Fauquier VA,"Linden, VA",342,0.181
22642,51187, ,Warren VA,"Linden, VA",1552,0.819
22643,51061, ,Fauquier VA,"Markham, VA",95,1
22644,51171, ,Shenandoah VA,"Maurertown, VA",1057,1
22645,51069, ,Frederick VA,"Middletown, VA",1186,0.708
22645,51187, ,Warren VA,"Middletown, VA",489,0.292
22646,51043, ,Clarke VA,"Millwood, VA (PO Boxes)",107,1
22650,51139, ,Page VA,"Rileyville, VA",541,1
22652,51171, ,Shenandoah VA,"Fort Valley, VA",810,1
22654,51069, ,Frederick VA,"Star Tannery, VA",282,0.754
22654,51171, ,Shenandoah VA,"Star Tannery, VA",92,0.246
22655,51069, ,Frederick VA,"Stephens City, VA",7521,0.995
22655,51187, ,Warren VA,"Stephens City, VA",38,0.005
22656,51069, ,Frederick VA,"Stephenson, VA",947,1
22657,51171, ,Shenandoah VA,"Strasburg, VA",4587,0.924
22657,51187, ,Warren VA,"Strasburg, VA",376,0.076
22660,51171, ,Shenandoah VA,"Toms Brook, VA",749,1
22663,51043, ,Clarke VA,"White Post, VA",275,0.476
22663,51069, ,Frederick VA,"White Post, VA",303,0.524
22664,51171, ,Shenandoah VA,"Woodstock, VA",4013,1
22701,51047, ,Culpeper VA,"Culpeper, VA",11833,0.955
22701,51113, ,Madison VA,"Culpeper, VA",240,0.019
22701,51137, ,Orange VA,"Culpeper, VA",321,0.026
22709,51113, ,Madison VA,"Aroda, VA",369,1
22711,51113, ,Madison VA,"Banco, VA",43,1
22712,51061, ,Fauquier VA,"Bealeton, VA",3013,1
22713,51047, ,Culpeper VA,"Boston, VA",465,0.769
22713,51157, ,Rappahannock VA,"Boston, VA",140,0.231
22714,51047, ,Culpeper VA,"Brandy Station, VA",416,1
22715,51113, ,Madison VA,"Brightwood, VA",451,1
22716,51157, ,Rappahannock VA,"Castleton, VA",434,1
22718,51047, ,Culpeper VA,"Elkwood, VA",223,1
22719,51113, ,Madison VA,"Etlan, VA",245,1
22720,51061, ,Fauquier VA,"Goldvein, VA",445,1
22722,51113, ,Madison VA,"Haywood, VA",121,1
22723,51113, ,Madison VA,"Hood, VA (PO Boxes)",61,1
22724,51047, ,Culpeper VA,"Jeffersonton, VA",825,1
22726,51047, ,Culpeper VA,"Lignum, VA",276,1
22727,51113, ,Madison VA,"Madison, VA",2471,1
22728,51061, ,Fauquier VA,"Midland, VA",1241,1
22729,51047, ,Culpeper VA,"Mitchells, VA",58,1
22730,51113, ,Madison VA,"Oakpark, VA",52,1
22731,51113, ,Madison VA,"Pratts, VA",60,1
22732,51113, ,Madison VA,"Radiant, VA",80,1
22733,51047, ,Culpeper VA,"Rapidan, VA",305,0.546
22733,51113, ,Madison VA,"Rapidan, VA",20,0.036
22733,51137, ,Orange VA,"Rapidan, VA",234,0.419
22734,51047, ,Culpeper VA,"Remington, VA",63,0.054
22734,51061, ,Fauquier VA,"Remington, VA",1109,0.946
22735,51047, ,Culpeper VA,"Reva, VA",526,0.581
22735,51113, ,Madison VA,"Reva, VA",379,0.419
22736,51047, ,Culpeper VA,"Richardsville, VA",269,1
22737,51047, ,Culpeper VA,"Rixeyville, VA",1144,1
22738,51113, ,Madison VA,"Rochelle, VA",491,1
22740,51047, ,Culpeper VA,"Sperryville, VA",23,0.03
22740,51113, ,Madison VA,"Sperryville, VA",14,0.018
22740,51157, ,Rappahannock VA,"Sperryville, VA",720,0.951
22741,51047, ,Culpeper VA,"Stevensburg, VA",80,1
22742,51061, ,Fauquier VA,"Sumerduck, VA",695,1
22743,51113, ,Madison VA,"Syria, VA",163,1
22747,51157, ,Rappahannock VA,"Washington, VA",676,1
22749,51157, ,Rappahannock VA,"Woodville, VA",194,1
22801,51165, ,Rockingham VA,"Harrisonburg, VA",4088,0.291
22801,51660, ,Harrisonburg city VA,"Harrisonburg, VA",9984,0.709
22802,51165, ,Rockingham VA,"Harrisonburg, VA",3363,0.311
22802,51660, ,Harrisonburg city VA,"Harrisonburg, VA",7452,0.689
22807,51660, ,Harrisonburg city VA,"Harrisonburg, VA",8,1
22810,51171, ,Shenandoah VA,"Basye, VA",1257,1
22811,51165, ,Rockingham VA,"Bergton, VA",286,1
22812,51015, ,Augusta VA,"Bridgewater, VA",275,0.082
22812,51165, ,Rockingham VA,"Bridgewater, VA",3084,0.918
22815,51165, ,Rockingham VA,"Broadway, VA",3625,0.99
22815,51171, ,Shenandoah VA,"Broadway, VA",35,0.01
